zona;código.x;Freq.x;anio;comuna.x;promedio_i;año;comuna.y;personas;Ingresos_expandidos;Freq.y;p_poblacional;código.y;multi_pob;est_ing;ing_medio_zona;identificador
2101011001;02101;240;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;4618;1,27613831371780e-02;02101;1605125412,123659611;1016805180,04813433;220183,018633203610;casen_censo_region_01
2101011002;02101;442;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;3644;1,00698311286004e-02;02101;1266582287,089349508;1837948424,24946642;504376,625754518725;casen_censo_region_01
2101011003;02101;410;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;5645;1,55993953679882e-02;02101;1962090288,314867735;1708809473,41085386;302712,041348246916;casen_censo_region_01
2101011004;02101;872;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;4385;1,21175108394381e-02;02101;1524139223,075410843;3551384155,99112177;809893,764194098418;casen_censo_region_01
2101011005;02101;542;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;2383;6,58518319963081e-03;02101;828283641,639385223;2239751729,87971163;939887,423365384690;casen_censo_region_01
2101011006;02101;97;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;1466;4,05114501496381e-03;02101;509552588,604002833;422510485,65047807;288206,334004418866;casen_censo_region_01
2101011008;02101;318;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;6487;1,79261785211939e-02;02101;2254752825,562187195;1335715059,46095133;205906,437407268619;casen_censo_region_01
2101011009;02101;462;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;6152;1,70004393806667e-02;02101;2138313455,042172909;1918513693,84786916;311852,030859536608;casen_censo_region_01
2101011010;02101;264;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;4495;1,24214848855814e-02;02101;1562373046,231236696;1115228396,27479053;248104,203843112453;casen_censo_region_01
2101011011;02101;79;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;2445;6,75651402563883e-03;02101;849833614,690850496;346274630,57882297;141625,615778659703;casen_censo_region_01
2101011012;02101;282;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;4275;1,18135367932949e-02;02101;1485905399,919585466;1188864770,72642756;278097,022392146813;casen_censo_region_01
2101011013;02101;735;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;2947;8,14374103621989e-03;02101;1024318880,365618229;3009122851,98174047;1021080,031211992027;casen_censo_region_01
2101011014;02101;516;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;6247;1,72629624205177e-02;02101;2171333575,040386200;2135519753,91915488;341847,247305771511;casen_censo_region_01
2101011015;02101;424;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;2887;7,97793701105084e-03;02101;1003464067,735167980;1765344357,14860582;611480,553220854141;casen_censo_region_01
2101011016;02101;121;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;1643;4,54026688921251e-03;02101;571074285,863831282;523495689,84677732;318621,844094204076;casen_censo_region_01
2101011017;02101;317;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;4126;1,14017901307917e-02;02101;1434115948,553966999;1331643032,58968663;322744,312309667119;casen_censo_region_01
2101011018;02101;745;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;4567;1,26204497157843e-02;02101;1587398821,387777090;3048802298,10465860;667572,213292020722;casen_censo_region_01
2101011019;02101;166;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;1843;5,09294697310935e-03;02101;640590327,965332270;711268790,49738693;385929,891751159506;casen_censo_region_01
2101011020;02101;604;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;2874;7,94201280559754e-03;02101;998945524,998570323;2487700999,31676960;865588,378328729887;casen_censo_region_01
2101011021;02101;124;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;2753;7,60764135483996e-03;02101;956888319,527162194;536073024,60905325;194723,219981494098;casen_censo_region_01
2101011022;02101;136;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;2805;7,75133817665314e-03;02101;974962490,473552585;586291489,50573468;209016,573798835889;casen_censo_region_01
2101012001;02101;1;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;6;1,65804025169051e-05;02101;2085481,263045032;5010268,17714144;835044,696190239396;casen_censo_region_01
2101012005;02101;1;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;59;1,63040624749567e-04;02101;20507232,419942811;5010268,17714144;84919,799612566727;casen_censo_region_01
2101012012;02101;1;2017;Antofagasta;347580,210507505;2017;2101;361873;125779893516,982483;53;1,46460222232662e-04;02101;18421751,156897783;5010268,17714144;94533,361832857307;casen_censo_region_01
