zona;código.x;Freq.x;personas;comuna;promedio_i;año;ingresos_expandidos;Freq.y;p;código.y;multipob;est_ing;ing_medio_zona;identificador
1101092001;01101;32;191468;Iquique;272529,682352941;2017;52180713220,752945;57;2,97699876741805e-04;01101;15534191,894117648;122458911,499519870;2148401,95613192767;region_01
1101092004;01101;5;191468;Iquique;272529,682352941;2017;52180713220,752945;247;1,29003279921449e-03;01101;67314831,541176483;35519363,164031431;143803,08973292075;region_01
1101092005;01101;1;191468;Iquique;272529,682352941;2017;52180713220,752945;76;3,96933168989074e-04;01101;20712255,858823530;16930749,353981216;222773,01781554232;region_01
1101092006;01101;12;191468;Iquique;272529,682352941;2017;52180713220,752945;603;3,14935132763699e-03;01101;164335398,458823532;60729795,722483501;100712,76239217828;region_01
1101092007;01101;1;191468;Iquique;272529,682352941;2017;52180713220,752945;84;4,38715607830029e-04;01101;22892493,317647062;16930749,353981216;201556,53992834780;region_01
1101092010;01101;18;191468;Iquique;272529,682352941;2017;52180713220,752945;398;2,07867633233752e-03;01101;108466813,576470584;80193447,392695457;201491,07385099362;region_01
1101092012;01101;2;191468;Iquique;272529,682352941;2017;52180713220,752945;58;3,02922681596925e-04;01101;15806721,576470589;22401358,332239952;386230,31607310264;region_01
1101092018;01101;6;191468;Iquique;272529,682352941;2017;52180713220,752945;74;3,86487559278835e-04;01101;20167196,494117651;39418218,253504202;532678,62504735403;region_01
1101092021;01101;3;191468;Iquique;272529,682352941;2017;52180713220,752945;177;9,24436459356133e-04;01101;48237753,776470594;27117554,762247849;153206,52408049631;region_01
1101092023;01101;1;191468;Iquique;272529,682352941;2017;52180713220,752945;288;1,50416779827439e-03;01101;78488548,517647073;16930749,353981216;58787,32414576810;region_01
1101092024;01101;1;191468;Iquique;272529,682352941;2017;52180713220,752945;14;7,31192679716715e-05;01101;3815415,552941177;16930749,353981216;1209339,23957008682;region_01
1101092901;01101;2;191468;Iquique;272529,682352941;2017;52180713220,752945;30;1,56684145653582e-04;01101;8175890,470588235;22401358,332239952;746711,94440799847;region_01
1101112003;01101;1;191468;Iquique;272529,682352941;2017;52180713220,752945;33;1,72352560218940e-04;01101;8993479,517647060;16930749,353981216;513053,01072670351;region_01
