zona;código.x;Freq.x;personas;comuna;promedio_i;año;ingresos_expandidos;Freq.y;p;código.y;multipob;est_ing;ing_medio_zona;identificador
1101061005;01101;1022;191468;Iquique;375676,909525148;2017;71930106512,960953;2166;1,13125953161886e-02;01101;813716186,031469584;817309241,015210986;377335,7530079460;region_01
1101071001;01101;1192;191468;Iquique;375676,909525148;2017;71930106512,960953;2324;1,21377984832975e-02;01101;873073137,736442924;962996540,967870951;414370,2844095830;region_01
1101071002;01101;1328;191468;Iquique;375676,909525148;2017;71930106512,960953;2801;1,46290763991894e-02;01101;1052271023,579938293;1080550656,094890118;385773,1724722921;region_01
1101071003;01101;1813;191468;Iquique;375676,909525148;2017;71930106512,960953;3829;1,99981197902522e-02;01101;1438466886,571789980;1505820027,846206665;393267,1788577192;region_01
1101071004;01101;893;191468;Iquique;375676,909525148;2017;71930106512,960953;1987;1,03777132471222e-02;01101;746470019,226468325;707810874,989807487;356220,8731705120;region_01
1101081001;01101;2421;191468;Iquique;375676,909525148;2017;71930106512,960953;5133;2,68086573213278e-02;01101;1928349576,592582464;2049576462,612838745;399294,0702538163;region_01
1101081002;01101;1703;191468;Iquique;375676,909525148;2017;71930106512,960953;3233;1,68853280966010e-02;01101;1214563448,494801760;1408623125,660698652;435701,5544883077;region_01
1101081003;01101;1160;191468;Iquique;375676,909525148;2017;71930106512,960953;2122;1,10827919025634e-02;01101;797186402,012363195;935461710,490210891;440839,6373657921;region_01
1101081004;01101;1308;191468;Iquique;375676,909525148;2017;71930106512,960953;2392;1,24929492134456e-02;01101;898619167,584152818;1063211323,852893710;444486,3394033837;region_01
1101101001;01101;1148;191468;Iquique;375676,909525148;2017;71930106512,960953;2672;1,39553345728790e-02;01101;1003808702,251194239;925149001,192314506;346238,3986498183;region_01
1101101002;01101;1898;191468;Iquique;375676,909525148;2017;71930106512,960953;4398;2,29698957528151e-02;01101;1652227048,091598988;1581195273,710256100;359525,9831082892;region_01
1101101003;01101;1837;191468;Iquique;375676,909525148;2017;71930106512,960953;4524;2,36279691645601e-02;01101;1699562338,691767454;1527079274,251867056;337550,6795428530;region_01
1101101004;01101;1503;191468;Iquique;375676,909525148;2017;71930106512,960953;3544;1,85096204065431e-02;01101;1331398967,357122898;1232980634,317942381;347906,4995253787;region_01
1101101005;01101;2093;191468;Iquique;375676,909525148;2017;71930106512,960953;4911;2,56491946434913e-02;01101;1844949302,677999735;1754944256,429316044;357349,6755099401;region_01
1101101006;01101;1616;191468;Iquique;375676,909525148;2017;71930106512,960953;3688;1,92617043056803e-02;01101;1385496442,328744173;1332041141,160931349;361182,5220067601;region_01
1101111001;01101;1620;191468;Iquique;375676,909525148;2017;71930106512,960953;3886;2,02958196669940e-02;01101;1459880470,414723396;1335556293,008455515;343684,0692250272;region_01
1101111002;01101;972;191468;Iquique;375676,909525148;2017;71930106512,960953;2312;1,20751248250360e-02;01101;868565014,822141171;774752850,743526578;335100,7139894146;region_01
1101111003;01101;2083;191468;Iquique;375676,909525148;2017;71930106512,960953;4874;2,54559508638519e-02;01101;1831049257,025569439;1746007131,509344339;358228,7918566565;region_01
1101111004;01101;1961;191468;Iquique;375676,909525148;2017;71930106512,960953;4543;2,37272024568074e-02;01101;1706700199,972745419;1637206242,165284634;360379,9784647336;region_01
1101111005;01101;1951;191468;Iquique;375676,909525148;2017;71930106512,960953;4331;2,26199678275221e-02;01101;1627056695,153414011;1628307576,257725716;375965,7299140443;region_01
1101111006;01101;1517;191468;Iquique;375676,909525148;2017;71930106512,960953;3253;1,69897841937034e-02;01101;1222076986,685304880;1245227665,585003614;382793,6260636348;region_01
1101111007;01101;1881;191468;Iquique;375676,909525148;2017;71930106512,960953;4639;2,42285917228989e-02;01101;1742765183,287159681;1566102058,846470356;337594,7529309054;region_01
1101111008;01101;2141;191468;Iquique;375676,909525148;2017;71930106512,960953;4881;2,54925104978378e-02;01101;1833678995,392245054;1797881494,421662569;368342,8589267901;region_01
1101111009;01101;2137;191468;Iquique;375676,909525148;2017;71930106512,960953;5006;2,61453611047277e-02;01101;1880638609,082888842;1794300942,876013994;358430,0724882169;region_01
1101111010;01101;208;191468;Iquique;375676,909525148;2017;71930106512,960953;366;1,91154657697370e-03;01101;137497748,886204004;149741288,109285235;409129,2024843859;region_01
1101111011;01101;1938;191468;Iquique;375676,909525148;2017;71930106512,960953;4351;2,27244239246245e-02;01101;1634570233,343917131;1616743814,949391365;371579,8241667183;region_01
1101111012;01101;1257;191468;Iquique;375676,909525148;2017;71930106512,960953;2926;1,52819270060793e-02;01101;1099230637,270581961;1019075832,147686243;348282,9228119228;region_01
1101111013;01101;1613;191468;Iquique;375676,909525148;2017;71930106512,960953;3390;1,77053084588547e-02;01101;1273544723,290250063;1329405154,240902662;392154,9127554286;region_01
1101111014;01101;1173;191468;Iquique;375676,909525148;2017;71930106512,960953;2940;1,53550462740510e-02;01101;1104490114,003933907;946641763,111711383;321986,9942556841;region_01
1101991999;01101;582;191468;Iquique;375676,909525148;2017;71930106512,960953;1062;5,54661875613680e-03;01101;398968877,915706694;448446423,648325503;422265,9356387246;region_01
1107011001;01107;1566;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;4104;3,78685121107266e-02;01107;1278690351,779005289;1288150655,558193445;313876,8653894233;region_01
1107011002;01107;1612;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;4360;4,02306805074971e-02;01107;1358452712,903621674;1328526563,847980738;304707,9274880691;region_01
1107011003;01107;3144;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;8549;7,88835063437140e-02;01107;2663626661,149784565;2707985182,030549526;316760,4611101357;region_01
1107021001;01107;2573;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;6701;6,18316032295271e-02;01107;2087842116,781460762;2187033697,937387943;326374,2274193983;region_01
1107021002;01107;1604;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;3971;3,66412918108420e-02;01107;1237251312,600982189;1321499138,157784939;332787,4938700038;region_01
1107021003;01107;2520;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;6349;5,85836216839677e-02;01107;1978168870,235113621;2139041955,772583008;336910,0576110542;region_01
1107021004;01107;2019;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;5125;4,72895040369089e-02;01107;1596805081,108041525;1688877164,476770878;329537,0077027846;region_01
1107021005;01107;1755;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;4451;4,10703575547866e-02;01107;1386805739,709637403;1454520664,576687098;326785,1414461216;region_01
1107021006;01107;1550;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;3864;3,56539792387543e-02;01107;1203913138,224677563;1274125094,909024239;329742,5193863934;region_01
1107021007;01107;1983;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;5235;4,83044982698962e-02;01107;1631077970,653775215;1656793837,195101738;316484,0185663996;region_01
1107021008;01107;1840;108375;Alto Hospicio;311571,723143033;2017;33766585495,626148;4566;4,21314878892734e-02;01107;1422636487,871086359;1529737974,880351305;335028,0277880753;region_01
